A
A.B. =(=able body) | potocznie starszy marynarz
A.	D. (ej di)=(=assistant driller)(e’systent ‘dryler) | pomocnik do³owy wiertacza 
abaft | w rufowej czêœci statku, z ty³u statku
abandon drilling a well | zaniechanie (dalszego) wiercenia otworu 
abandon the ship | opuszczanie statku, ewakuacja
abandon the well | opuszczanie otworu wiertniczego (po zakoñczeniu lub likwidacji)
abandon (ebendn) | /porzuciæ, opuœciæ/, zlikwidowaæ otwór, zakoñczyæ eksploatacjê
aberration | odchylenie otworu wiertniczego od trajektorii
abnormal | nienormalny, nieprawid³owy
aboard | na pok³adzie, na statku
abort | przerwanie wykonywania zadania
above sea level | nad poziomem morza
abrasion | zu¿ycie œcierne
abrasive cloth | p³ótno œcierne
abrasive | materia³ œcierny
abrasive paper | papier œcierny
abrupt (e’brapt) | nag³y, gwa³towny (np. spadek postêpu wiercenia, nag³a zmiana przekroju)
absence (‘apsens) | nieobecnoœæ
absence of confirmation | brak potwierdzenia
absence of evidence | brak dowodów
absorbability | nasi¹kliwoœæ
abyssal deposit | osad g³êbokomorski
Abyssinian well | studnia abisyñska, abisynka
accelaration | przyspieszenie (np. ziemskie)
accelerator | œrodek przyspieszaj¹cy wi¹zanie cementu
accept a risk | braæ na siebie ryzyko
access | dostêp, dojazd, dojœcie
accessories (ek’sesoriz) | detale, czêœci, aparatura, wyposa¿enie dodatkowe, osprzêt 
accident (‘eksydent) | wypadek
accommodation | zakwaterowanie, „mieszkanie i wikt”, /pomieszczenie nadbudówki/ 
accommodation platform | platforma morska mieszkalna (platforma hotelowiec) 
accommodation barge=(-hotel barge) | barka mieszkalna (np. dla za³ogi wiertniczej) 
account | rachunek, konto, /sprawozdanie/
accumulator (e’kjumjulejte) | zbiornik ciœnieniowy (np. do zamykania prewentera) 
accumulator | akumulator (np. elektryczny,energii), zasobnik


acetic acid | kwas octowy 
acetylene | acetylen
acetylene cutter=(=cutting torch) | palnik acetylenowy
acetylene welding | spawanie acetylenowe
acid (Lasyd) | kwas, kwaœny, kwasowy
acid frac | szczelinowanie z kwasowaniem
acid proof | kwasoodpomy
acid treatment | kwasowanie (w odwiercie)
acidity | kwasowoœæ
acidizing | kwasowanie np. otworu wiertniczego (strefy z³o¿owej) 
acoustic log (e’kustyk log) | profilownie akustyczne 
acoustic radiator | Ÿród³o dŸwiêku
Act of God | si³a wy¿sza {np. powódŸ, burza, wichura itp.) 
acting manager (‘akting ‘mened¿e) | p.o. kierownika 
active mud | p³uczka obiegowa (robocza)
active tank~(-suction tank){‘ektyw tenk, ‘sakszn tenk) | zbiornik ss¹cy (roboczy)
actual-(=real) | rzeczywisty, faktyczny
actual pressure (‘ekczuel ‘presze) | ciœnienie rzeczywiste
actuator | si³ownik (np. hydrauliczny), urz¹dzenie uruchamiaj¹ce np. zasuwê
adapter (e’dapte) | ³¹cznik redukcyjny, element poœrednicz¹cy, króciec redukcyjny
adapter flange (e’dapte flend¿) | kryza redukcyjna
adapter spool (e’dapte spul) | adapter, wózek redukcyjny (szpulka redukcyjna)
add | dodawaæ, dolewaæ
add dropwise | dodawaæ kroplami
additional (e’dyszonal) | dodatkowy
additive | dodatek (np. do paliwa, cementu), odczynnik do obróbki p³uczki 
adhesive (ed’hisyw) klej, spoiwo, lepiszcze, lepki, przyczepny 
adhesive water | woda zwi¹zana 
adjust (e’dzast) | ustawiæ, nastawiæ, regulowaæ
adjustable choke (e’dzastebl czouk) | zwê¿ka nastawna (regulowana) 
adjustable spanner (e’dzastebl ‘spane) | klucz nastawny 
administration (admynys’trejszn) | zarz¹dzanie, zarz¹d, administracja 
adrift (e’dryft) | znoszony (np. statek, ³ódŸ, itp.)
advertisment (ed’wetysment) | og³oszenie, reklama, informacja pisana 
adviser=(=advisor) (ed’wajze) | doradca, konsultant 
aerated mud | p³uczka napowietrzona
A-frame (ei-frejm) | stojak podbudowy masztu w kszta³cie litery A
after-deck | pok³ad rufowy
against the wind (e’geinst de ³ynd) | pod wiatr
agent | czynnik, œrodek, /przedstawiciel/
agitator (‘ed¿itejte) | mieszad³o (np. p³uczki), mieszalnik
ahead | do przodu, /przed dziobem statku/
aid | pomoc, /œrodek pomocniczy/
air brake (e brejk) | hamulec powietrzny
air compressor | sprê¿arka powietrzna
